,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
114,,,0.0,2.0,0.0,0.0,1.0,413,,,413,Keyboard operators,,
115,,,0.0,14.0,0.0018315018315018315,0.0,0.9981684981684982,421,,,421,"Tellers, money collectors and related clerks",,
116,,,0.0,24.0,0.03249207252809086,0.0,0.9675079274719091,422,,,422,Client information workers,,
117,,,0.0,11.0,0.0,0.0,1.0,431,,,431,Numerical clerks,,
118,,,0.16405433646812959,27.0,0.05065709493913156,0.01317702231974628,0.9361658827411221,432,,,432,Material-recording and transport clerks,,
119,,,0.0,8.0,0.005434782608695652,0.0,0.9945652173913043,441,,,441,Other clerical support workers,,
120,,,0.0,13.0,0.09363103079296249,0.0,0.9063689692070375,511,,,511,"Travel attendants, conductors and guides",,
121,,,0.0,5.0,0.032944308906358244,0.012940092165898618,0.9541155989277431,512,,,512,Cooks,,
122,,,0.0,10.0,0.006767676767676768,0.006904761904761905,0.9863275613275613,513,,,513,Waiters and bartenders,,
123,,,0.0,17.0,0.006693597974201482,0.0,0.9933064020257985,514,,,514,"Hairdressers, beauticians and related workers",,
124,,,0.0,9.0,0.03879790873793872,0.0019157088122605363,0.9592863824498008,515,,,515,Building and housekeeping supervisors,,
125,,,0.0,35.0,0.049796794702682605,0.003442589156874871,0.9467606161404425,516,,,516,Other personal services workers,,
126,,,0.0,2.0,0.0,0.0,1.0,521,,,521,Street and market salespersons,,
127,,,0.11764705882352941,47.0,0.004529216501830295,0.0006224886371121797,0.9948482948610575,522,,,522,Shop salespersons,,
128,,,0.0,3.0,0.0,0.0,1.0,523,,,523,Cashiers and ticket clerks,,
129,,,0.0,22.0,0.004195804195804196,0.0,0.9958041958041958,524,,,524,Other sales workers,,
130,,,0.0,10.0,0.012341454755247859,0.008893178893178894,0.9787653663515732,531,,,531,Child care workers and teachers’ aides,,
131,,,0.0,6.0,0.011111111111111112,0.0033333333333333335,0.9855555555555555,532,,,532,Personal care workers in health services,,
132,,,0.0,26.0,0.03653556096995011,0.005624902480886254,0.9578395365491637,541,,,541,Protective services workers,,
133,,,0.2631578947368421,15.0,0.3253093014041353,0.0017543859649122805,0.6729363126309524,611,,,611,Market gardeners and crop growers,,
134,,,0.0,10.0,0.08845162890540088,0.002325581395348837,0.9092227896992503,612,,,612,Animal producers,,
135,,,0.0,2.0,0.361764705882353,0.0,0.638235294117647,613,,,613,Mixed crop and animal producers,,
136,,,0.0,1.0,0.5789473684210527,0.0,0.42105263157894735,621,,,621,Forestry and related workers,,
137,,,0.0,16.0,0.08124147079498734,0.0,0.9187585292050127,622,,,622,"Fishery workers, hunters and trappers",,
138,,,0.30434782608695654,16.0,0.06385456660952038,0.03814556007456221,0.8979998733159175,711,,,711,Building frame and related trades workers,,
139,,,0.23924988055422838,25.0,0.09229210779507308,0.027973052806232527,0.8797348393986943,712,,,712,Building finishers and related trades workers,,
140,,,1.0,11.0,0.170666648312203,0.0483615814678954,0.7809717702199016,713,,,713,"Painters, building structure cleaners and related trades workers",,
