Mapping project name,ESCO - DKZ Berufe
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-24
Classification 1 Name,ESCO-Berufe
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,de
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Digitales-Klassifizierungs-Zentrum Berufe
Classification 2 Concept type,occupations
Classification 2 Version,August 2019
Classification 2 Language,de
Classification 2 Landing page,https://berufenet.arbeitsagentur.de


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,27393,Projektleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=27393,skos:exactMatch
http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,Qualitätsmanager/Qualitätsmanagerin,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,100531,Qualitätsmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=100531,skos:exactMatch
http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700,Verwalter von Produktionsgebäuden/Verwalterin von Produktionsgebäuden,http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700,15628,Facility-Manager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15628,skos:broadMatch
http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7,Verwaltungsangestellter im Bereich Verteidigung/Verwaltungsangestellte im Bereich Verteidigung,http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7,7596,Beamt(er/in) - Wehrverwaltung (geh. Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7596,skos:narrowMatch
http://data.europa.eu/esco/occupation/c530b0ee-46f8-40fb-818c-d9b44b891cb9,Bank-Produktmanager/Bank-Produktmanagerin,http://data.europa.eu/esco/occupation/c530b0ee-46f8-40fb-818c-d9b44b891cb9,59187,Betriebswirt/in (Hochschule) - Bank und Finanzdienstl.,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=59187,skos:broadMatch
http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1,Kaufmännischer Leiter/Kaufmännische Leiterin,http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1,131707,Kaufmännische/r Geschäftsführer/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131707,skos:exactMatch
http://data.europa.eu/esco/occupation/425ed170-bf90-42c9-b5bd-148282ed96ff,Destinationsmanager/Destinationsmanagerin,http://data.europa.eu/esco/occupation/425ed170-bf90-42c9-b5bd-148282ed96ff,14043,Touristikmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14043,skos:broadMatch
http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,Marketingleiter/Marketingleiterin,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,90189,Leiter/in - Marketing,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90189,skos:exactMatch
http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,Führungskraft für Marketing,http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,90189,Leiter/in - Marketing,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90189,skos:narrowMatch
http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,Führungskraft im Vertrieb,http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,7478,Leiter/in - Vertrieb,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7478,skos:exactMatch
http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e,Online-Vertriebsmanager/Online-Vertriebsmanagerin,http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e,15010,Onlinemarketing-Manager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15010,skos:broadMatch
http://data.europa.eu/esco/occupation/dab60fc6-c16e-4de7-b969-b323784f5a49,Warengruppenmanager/Warengruppenmanagerin,http://data.europa.eu/esco/occupation/dab60fc6-c16e-4de7-b969-b323784f5a49,14464,Category-Manager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14464,skos:exactMatch
http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,Werbeleiter/Werbeleiterin,http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,6981,Werbeleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=6981,skos:exactMatch
http://data.europa.eu/esco/occupation/6ce3c372-408b-4c46-86d8-ad6b9255d686,Tourismusmanager/Tourismusmanagerin,http://data.europa.eu/esco/occupation/6ce3c372-408b-4c46-86d8-ad6b9255d686,14043,Touristikmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14043,skos:exactMatch
http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,Kommunikationsmanager/Kommunikationsmanagerin,http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,90707,Leiter/in - Presse- und Öffentlichkeitsarbeit,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90707,skos:exactMatch
http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,Kommunikationsmanager/Kommunikationsmanagerin,http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,8287,Pressesprecher/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8287,skos:narrowMatch
http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2,Public-Relations-Manager/Public-Relations-Managerin,http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2,15590,Public-Relations-Manager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15590,skos:exactMatch
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,Bekleidungsentwickler/Bekleidungsentwicklerin,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,14493,Produktentwickler/in (Mode),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14493,skos:exactMatch
http://data.europa.eu/esco/occupation/ef6020f9-11b4-4d1a-96e0-903331594121,Entwickler von Fußbekleidung/Entwicklerin von Fußbekleidung,http://data.europa.eu/esco/occupation/ef6020f9-11b4-4d1a-96e0-903331594121,5921,Techniker/in - Schuhtechnik (Modellgestaltung),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=5921,skos:exactMatch
http://data.europa.eu/esco/occupation/62001bb7-4611-4b61-903e-d98589c0821a,Spieleentwickler/Spieleentwicklerin,http://data.europa.eu/esco/occupation/62001bb7-4611-4b61-903e-d98589c0821a,130067,Game Producer,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=130067,skos:narrowMatch
http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,Forschungs- und Entwicklungsleiter/Forschungs- und Entwicklungsleiterin,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,90139,Leiter/in - Forschung und Entwicklung,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90139,skos:exactMatch
http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,Forschungsleiter/Forschungsleiterin,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,90139,Leiter/in - Forschung und Entwicklung,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90139,skos:broadMatch
http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0,Produktentwicklungsmanager/Produktentwicklungsmanagerin,http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0,100544,Produktentwickler/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=100544,skos:exactMatch
http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890,Produktleiter/Produktleiterin,http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890,7513,Produktmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7513,skos:exactMatch
http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,Forstwirt/Forstwirtin,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,58700,Forstwirt/in (Hochschule),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=58700,skos:exactMatch
http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,Führungskraft für die Ernte aquatischer Organismen,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,350,Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=350,skos:broadMatch
http://data.europa.eu/esco/occupation/a5826284-14fb-4866-b9be-69ce69db1b71,Führungskraft für die Zucht aquatischer Organismen,http://data.europa.eu/esco/occupation/a5826284-14fb-4866-b9be-69ce69db1b71,350,Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=350,skos:broadMatch
http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,Führungskraft in der Aquakulturproduktion,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,350,Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=350,skos:broadMatch
http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,Betriebsleiter/Betriebsleiterin,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,14471,Betriebsleiter/in - technisch,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14471,skos:narrowMatch
http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,Führungskraft in der Produktion von Waren,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,7486,Leiter/in - Produktion/Fertigung,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7486,skos:broadMatch
http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,Führungskraft in der Industrieproduktion,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,7486,Leiter/in - Produktion/Fertigung,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7486,skos:broadMatch
http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,Führungskraft in Bauprojekten,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,131699,"Leiter/in - Projektentwicklung (Immobilien, Bau)",https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131699,skos:exactMatch
http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,Bauunternehmer/Bauunternehmerin,http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,131699,"Leiter/in - Projektentwicklung (Immobilien, Bau)",https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131699,skos:exactMatch
