EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
2611,1285,139000.275,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2612,206,22513.719,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2619,717,77467.494,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2621,179,19417.517,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2622,219,23060.99,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2631,70,7805.695,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2632,169,18621.607,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2633,173,19457.626,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2634,1014,110696.366,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2635,3235,352229.182,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2636,456,49751.35,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2641,242,26430.488,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2642,1185,132255.972,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2643,453,51821.212,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2651,375,43279.131,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2652,630,72978.193,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2653,52,6672.499,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
