EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel,,
Administration of the State and the economic and social policy of the community,16277,1.743.000.146,2.083.541.832.356.880,9.569.239.691.328.730,17.125.954.879.851.000,0.011953767,0.005490097,0.982556136,,
Manufacture of knitted and crocheted apparel,58,6.498.136,0,35.256.266.666.666.600,6.462.879.733.333.330,0,0.005425597,0.994574403,,
Renting and operating of own or leased real estate,479,52.063.481,1.428.773.375,2.600.691.197.802.190,5.166.053.454.271.970,0.002744291,0.004995231,0.992260478,,
Wired telecommunications activities,310,33.196.761,7.663.953.863.636.360,15.978.035.784.313.700,329.603.411.035.205,0.002308645,0.004813131,0.992878224,,
Other passenger land transport,3046,335.500.707,15.045.770.678.391.000,15.797.104.273.707.700,3.324.164.195.047.900,0.004484572,0.004708516,0.990806912,,
Higher education,5258,588.508.808,2.566.535.086.038.960,26.885.514.986.536.800,5.832.537.214.153.070,0.004361082,0.004568413,0.991070505,,
Growing of non-perennial crops,602,64758.19,8.826.854.545.454.540,29.274.322.456.247.400,6.437.717.822.998.290,0.001363048,0.004520559,0.994116393,,
Activities of trade unions,125,13462.69,811.635,5.922.427.912.087.910,1.332.230.222.087.910,0.006028773,0.004399142,0.989572086,,
Activities of holding companies,78,8.802.452,62.218,36.916.857.142.857.100,8.703.317.142.857.140,0.007068258,0.004193929,0.988737813,,
Activities of other membership organisations,3949,428.311.783,2.731.741.145.711.230,17.678.021.051.342.500,4.238.122.397.491.540,0.006377927,0.004127372,0.989494701,,
Retail sale of other goods in specialised stores,8639,948.548.687,1.173.790.374.621.210,36.823.474.592.537.500,943.692.549.166.125,0.001237459,0.003882086,0.994880455,,
Support activities for transportation,9227,1.044.419.704,2.338.056.401.628.780,40.342.451.397.778.600,10.170.048.948.439.300,0.022386177,0.003862667,0.973751157,,
Provision of services to the community as a whole,7453,843.324.517,13.152.319.310.064.900,3.159.374.083.017.660,8.388.499.109.859.750,0.00155958,0.003746333,0.994694088,,
Television programming and broadcasting activities,208,22130.44,33.279.666.666.666.600,8.025.414.634.146.340,2.201.690.618.699.180,0.001503796,0.003626414,0.99486979,,
